xmin	xmax	clickSelects	group
0.000213219616204691	0.00277185501066098	2008-10-04	1
0.00319829424307036	0.00575692963752665	2008-10-11	1
0.00618336886993603	0.00874200426439232	2008-10-18	1
0.00916844349680171	0.011727078891258	2008-10-25	1
0.0121535181236674	0.0147121535181237	2008-11-01	1
0.015138592750533	0.0176972281449893	2008-11-08	1
0.0181236673773987	0.020682302771855	2008-11-15	1
0.0211087420042644	0.0236673773987207	2008-11-22	1
0.0240938166311301	0.0266524520255864	2008-11-29	1
0.0270788912579957	0.029637526652452	2008-12-06	1
0.0300639658848614	0.0326226012793177	2008-12-13	1
0.0330490405117271	0.0356076759061834	2008-12-20	1
0.0360341151385928	0.038592750533049	2008-12-27	1
0.0390191897654584	0.0415778251599147	2009-01-03	1
0.0420042643923241	0.0445628997867804	2009-01-10	1
0.0449893390191898	0.0475479744136461	2009-01-17	1
0.0479744136460554	0.0505330490405117	2009-01-24	1
0.0509594882729211	0.0535181236673774	2009-01-31	1
0.0539445628997868	0.0565031982942431	2009-02-07	1
0.0569296375266524	0.0594882729211087	2009-02-14	1
0.0599147121535181	0.0624733475479744	2009-02-21	1
0.0628997867803838	0.0654584221748401	2009-02-28	1
0.0658848614072495	0.0684434968017058	2009-03-07	1
0.0688699360341151	0.0714285714285714	2009-03-14	1
0.0718550106609808	0.0744136460554371	2009-03-21	1
0.0748400852878465	0.0773987206823028	2009-03-28	1
0.0778251599147122	0.0803837953091684	2009-04-04	1
0.0808102345415778	0.0833688699360341	2009-04-11	1
0.0837953091684435	0.0863539445628998	2009-04-18	1
0.0867803837953092	0.0893390191897655	2009-04-25	1
0.0897654584221748	0.0923240938166311	2009-05-02	1
0.0927505330490405	0.0953091684434968	2009-05-09	1
0.0957356076759062	0.0982942430703625	2009-05-16	1
0.0987206823027719	0.101279317697228	2009-05-23	1
0.101705756929638	0.104264392324094	2009-05-30	1
0.104690831556503	0.107249466950959	2009-06-06	1
0.107675906183369	0.110234541577825	2009-06-13	1
0.110660980810235	0.113219616204691	2009-06-20	1
0.1136460554371	0.116204690831557	2009-06-27	1
0.116631130063966	0.119189765458422	2009-07-04	1
0.119616204690832	0.122174840085288	2009-07-11	1
0.122601279317697	0.125159914712154	2009-07-18	1
0.125586353944563	0.128144989339019	2009-07-25	1
0.128571428571429	0.131130063965885	2009-08-01	1
0.131556503198294	0.134115138592751	2009-08-08	1
0.13454157782516	0.137100213219616	2009-08-15	1
0.137526652452026	0.140085287846482	2009-08-22	1
0.140511727078891	0.143070362473348	2009-08-29	1
0.000213219616204691	0.00277185501066098	2008-10-04	1
0.00319829424307036	0.00575692963752665	2008-10-11	1
0.00618336886993603	0.00874200426439232	2008-10-18	1
0.00916844349680171	0.011727078891258	2008-10-25	1
0.0121535181236674	0.0147121535181237	2008-11-01	1
0.015138592750533	0.0176972281449893	2008-11-08	1
0.0181236673773987	0.020682302771855	2008-11-15	1
0.0211087420042644	0.0236673773987207	2008-11-22	1
0.0240938166311301	0.0266524520255864	2008-11-29	1
0.0270788912579957	0.029637526652452	2008-12-06	1
0.0300639658848614	0.0326226012793177	2008-12-13	1
0.0330490405117271	0.0356076759061834	2008-12-20	1
0.0360341151385928	0.038592750533049	2008-12-27	1
0.0390191897654584	0.0415778251599147	2009-01-03	1
0.0420042643923241	0.0445628997867804	2009-01-10	1
0.0449893390191898	0.0475479744136461	2009-01-17	1
0.0479744136460554	0.0505330490405117	2009-01-24	1
0.0509594882729211	0.0535181236673774	2009-01-31	1
0.0539445628997868	0.0565031982942431	2009-02-07	1
0.0569296375266524	0.0594882729211087	2009-02-14	1
0.0599147121535181	0.0624733475479744	2009-02-21	1
0.0628997867803838	0.0654584221748401	2009-02-28	1
0.0658848614072495	0.0684434968017058	2009-03-07	1
0.0688699360341151	0.0714285714285714	2009-03-14	1
0.0718550106609808	0.0744136460554371	2009-03-21	1
0.0748400852878465	0.0773987206823028	2009-03-28	1
0.0778251599147122	0.0803837953091684	2009-04-04	1
0.0808102345415778	0.0833688699360341	2009-04-11	1
0.0837953091684435	0.0863539445628998	2009-04-18	1
0.0867803837953092	0.0893390191897655	2009-04-25	1
0.0897654584221748	0.0923240938166311	2009-05-02	1
0.0927505330490405	0.0953091684434968	2009-05-09	1
0.0957356076759062	0.0982942430703625	2009-05-16	1
0.0987206823027719	0.101279317697228	2009-05-23	1
